500,3.216
1000,2.0935
1500,1.7854
2000,1.5805
2500,1.5404
3000,1.4753
3500,1.3928
4000,1.3721
4500,1.3914
5000,1.3583
5500,1.3026
6000,1.3035
6500,1.2948
7000,1.3023
7500,1.2466
8000,1.2508
8500,1.2296
9000,1.2217
9500,1.1883
10000,1.2031
10500,1.1825
11000,1.1513
11500,0.9888
12000,0.9922
12500,1.0339
13000,0.9984
13500,1.0138
14000,0.9646
14500,1.0014
15000,1.0114
15500,0.9822
16000,0.9649
16500,0.9975
17000,0.9623
17500,1.0025
18000,0.9722
18500,0.946
19000,0.9484
19500,0.9764
20000,0.9794
20500,0.9624
21000,0.9576
21500,0.9598
22000,0.8792
22500,0.7731
23000,0.8033
23500,0.8113
24000,0.7517
24500,0.7944
25000,0.8004
25500,0.7802
26000,0.8126
26500,0.7599
27000,0.7512
27500,0.8257
28000,0.7935
28500,0.7889
29000,0.789
29500,0.7663
30000,0.808
30500,0.7598
31000,0.7646
31500,0.7554
32000,0.7694
32500,0.7741
